,,,,,,
,Country,Year,Vehicle category,Pollutant,Emission factor,Unit
,CH,2000,coach,CO2(rep),906844,[g/Vehkm]
,CH,2000,coach,FC,"288,07",[g/Vehkm]
,CH,2000,HGV,CO2(rep),855741,[g/Vehkm]
,CH,2000,HGV,FC,271837,[g/Vehkm]
,CH,2000,LCV,CO2(rep),"294,02",[g/Vehkm]
,CH,2000,LCV,FC,93458,[g/Vehkm]
,CH,2000,motorcycle,CO2(rep),109104,[g/Vehkm]
,CH,2000,motorcycle,FC,34704,[g/Vehkm]
,CH,2000,pass. car,CO2(rep),242606,[g/Vehkm]
,CH,2000,pass. car,FC,77161,[g/Vehkm]
,CH,2000,urban bus,CO2(rep),1234796,[g/Vehkm]
,CH,2000,urban bus,FC,392248,[g/Vehkm]
,CH,2005,coach,CO2(rep),882252,[g/Vehkm]
,CH,2005,coach,FC,280884,[g/Vehkm]
,CH,2005,HGV,CO2(rep),896914,[g/Vehkm]
,CH,2005,HGV,FC,285956,[g/Vehkm]
,CH,2005,LCV,CO2(rep),284412,[g/Vehkm]
,CH,2005,LCV,FC,90522,[g/Vehkm]
,CH,2005,motorcycle,CO2(rep),117008,[g/Vehkm]
,CH,2005,motorcycle,FC,37218,[g/Vehkm]
,CH,2005,pass. car,CO2(rep),232063,[g/Vehkm]
,CH,2005,pass. car,FC,73824,[g/Vehkm]
,CH,2005,urban bus,CO2(rep),"1235,45",[g/Vehkm]
,CH,2005,urban bus,FC,393332,[g/Vehkm]
,CH,2010,coach,CO2(rep),842785,[g/Vehkm]
,CH,2010,coach,FC,"268,51",[g/Vehkm]
,CH,2010,HGV,CO2(rep),874114,[g/Vehkm]
,CH,2010,HGV,FC,278703,[g/Vehkm]
,CH,2010,LCV,CO2(rep),272945,[g/Vehkm]
,CH,2010,LCV,FC,87061,[g/Vehkm]
,CH,2010,motorcycle,CO2(rep),110867,[g/Vehkm]
,CH,2010,motorcycle,FC,35265,[g/Vehkm]
,CH,2010,pass. car,CO2(rep),219247,[g/Vehkm]
,CH,2010,pass. car,FC,69821,[g/Vehkm]
,CH,2010,urban bus,CO2(rep),1182916,[g/Vehkm]
,CH,2010,urban bus,FC,382289,[g/Vehkm]
,CH,2015,coach,CO2(rep),751943,[g/Vehkm]
,CH,2015,coach,FC,242075,[g/Vehkm]
,CH,2015,HGV,CO2(rep),"839,99",[g/Vehkm]
,CH,2015,HGV,FC,270633,[g/Vehkm]
,CH,2015,LCV,CO2(rep),265195,[g/Vehkm]
,CH,2015,LCV,FC,85441,[g/Vehkm]
,CH,2015,motorcycle,CO2(rep),116162,[g/Vehkm]
,CH,2015,motorcycle,FC,"37,23",[g/Vehkm]
,CH,2015,pass. car,CO2(rep),197853,[g/Vehkm]
,CH,2015,pass. car,FC,63571,[g/Vehkm]
,CH,2015,urban bus,CO2(rep),1132327,[g/Vehkm]
,CH,2015,urban bus,FC,369119,[g/Vehkm]
,CH,2020,coach,CO2(rep),690148,[g/Vehkm]
,CH,2020,coach,FC,232322,[g/Vehkm]
,CH,2020,HGV,CO2(rep),787813,[g/Vehkm]
,CH,2020,HGV,FC,265321,[g/Vehkm]
,CH,2020,LCV,CO2(rep),244172,[g/Vehkm]
,CH,2020,LCV,FC,82066,[g/Vehkm]
,CH,2020,motorcycle,CO2(rep),112439,[g/Vehkm]
,CH,2020,motorcycle,FC,36578,[g/Vehkm]
,CH,2020,pass. car,CO2(rep),177746,[g/Vehkm]
,CH,2020,pass. car,FC,58761,[g/Vehkm]
,CH,2020,urban bus,CO2(rep),1068643,[g/Vehkm]
,CH,2020,urban bus,FC,363111,[g/Vehkm]
,CH,2025,coach,CO2(rep),645535,[g/Vehkm]
,CH,2025,coach,FC,"216,98",[g/Vehkm]
,CH,2025,HGV,CO2(rep),758109,[g/Vehkm]
,CH,2025,HGV,FC,248515,[g/Vehkm]
,CH,2025,LCV,CO2(rep),228346,[g/Vehkm]
,CH,2025,LCV,FC,74759,[g/Vehkm]
,CH,2025,motorcycle,CO2(rep),95166,[g/Vehkm]
,CH,2025,motorcycle,FC,32298,[g/Vehkm]
,CH,2025,pass. car,CO2(rep),161636,[g/Vehkm]
,CH,2025,pass. car,FC,"53,91",[g/Vehkm]
,CH,2025,urban bus,CO2(rep),993332,[g/Vehkm]
,CH,2025,urban bus,FC,"347,26",[g/Vehkm]
